ｺｰﾄﾞ,市場,銘柄
1332,東証プライム,ニッスイ
1414,東証プライム,ショーボンドＨＤ
1419,東証プライム,タマホーム
1518,東証プライム,三井松島ＨＤ
1605,東証プライム,ＩＮＰＥＸ
1662,東証プライム,石油資源開発
1719,東証プライム,安藤ハザマ
1721,東証プライム,コムシスＨＤ
1801,東証プライム,大成建設
1802,東証プライム,大林組
1808,東証プライム,長谷工コーポレーション
1812,東証プライム,鹿島
1878,東証プライム,大東建託
1911,東証プライム,住友林業
1925,東証プライム,大和ハウス工業
1928,東証プライム,積水ハウス
1942,東証プライム,関電工
1951,東証プライム,協和エクシオ
1959,東証プライム,九電工
1969,東証プライム,高砂熱学工業
2124,東証プライム,JAC Recruitment
2127,東証プライム,日本Ｍ＆Ａセンター
2146,東証プライム,ＵＴグループ
2168,東証プライム,パソナグループ
2175,東証プライム,エス・エム・エス
2181,東証プライム,パーソルＨＤ
2201,東証プライム,森永製菓
2222,東証プライム,寿スピリッツ
2229,東証プライム,カルビー
2264,東証プライム,森永乳業
2267,東証プライム,ヤクルト本社
2269,東証プライム,明治ＨＤ
2282,東証プライム,日本ハム
2317,東証プライム,システナ
2327,東証プライム,新日鉄住金SOL
2331,東証プライム,ＡＬＳＯＫ
2371,東証プライム,カカクコム
2379,東証プライム,ディップ
2384,東証プライム,ＳＢＳＨＤ
2413,東証プライム,エムスリー
2433,東証プライム,博報堂ＤＹＨＤ
2502,東証プライム,アサヒグループＨＤ
2503,東証プライム,キリンＨＤ
2531,東証プライム,宝ＨＤ
2587,東証プライム,サントリー食品
2670,東証プライム,エービーシー・マート
2678,東証プライム,アスクル
2685,東証プライム,アダストリア
2702,東証スタンダード,日本マクドナルドＨＤ
2726,東証プライム,パルグループＨＤ
2760,東証プライム,東京エレクトロン
2768,東証プライム,双日
2782,東証スタンダード,セリア
2801,東証プライム,キッコーマン
2802,東証プライム,味の素
2871,東証プライム,ニチレイ
2875,東証プライム,東洋水産
2897,東証プライム,日清食品ＨＤ
2914,東証プライム,ＪＴ
3003,東証プライム,ヒューリック
3038,東証プライム,神戸物産
3064,東証プライム,ＭｏｎｏｔａＲＯ
3088,東証プライム,マツキヨココカラ
3092,東証プライム,ＺＯＺＯ
3107,東証プライム,ダイワボウＨＤ
3116,東証プライム,トヨタ紡織
3132,東証プライム,マクニカＨＤ
3141,東証プライム,ウエルシアＨＤ
3148,東証プライム,クリエイトＳＤＨＤ
3186,東証プライム,ネクステージ
3231,東証プライム,野村不動産ＨＤ
3288,東証プライム,オープンハウスグループ
3289,東証プライム,東急不動産ＨＤ
3291,東証プライム,飯田グループＨＤ
3349,東証プライム,コスモス薬品
3360,東証プライム,シップヘルスケアＨＤ
3382,東証プライム,セブン＆アイＨＤ
3391,東証プライム,ツルハＨＤ
3402,東証プライム,東レ
3405,東証プライム,クラレ
3436,東証プライム,ＳＵＭＣＯ
3465,東証プライム,ケイアイスター不動産
3549,東証プライム,クスリのアオキＨＤ
3563,東証プライム,ＦＯＯＤ＆ＬＩＦＥ
3626,東証プライム,ＴＩＳ
3635,東証プライム,コーエーテクモＨＤ
3659,東証プライム,ネクソン
3697,東証プライム,ＳＨＩＦＴ
3765,東証プライム,ガンホー
3769,東証プライム,ＧＭＯペイメント
3774,東証プライム,ＩＩＪ
3861,東証プライム,王子ＨＤ
3923,東証プライム,ラクス
4021,東証プライム,日産化学工業
4042,東証プライム,東ソー
4062,東証プライム,イビデン
4063,東証プライム,信越化学工業
4088,東証プライム,エア・ウォーター
4091,東証プライム,日本酸素ＨＤ
4151,東証プライム,協和発酵キリン
4182,東証プライム,三菱ガス化学
4183,東証プライム,三井化学
4186,東証プライム,東京応化工業
4188,東証プライム,三菱ケミカルグループ
4189,東証プライム,ＫＨネオケム
4194,東証グロース,ビジョナル
4202,東証プライム,ダイセル
4203,東証プライム,住友ベークライト
4204,東証プライム,積水化学工業
4307,東証プライム,野村総合研究所
4368,東証プライム,扶桑化学工業
4401,東証プライム,ＡＤＥＫＡ
4403,東証プライム,日油
4452,東証プライム,花王
4502,東証プライム,武田薬品工業
4503,東証プライム,アステラス製薬
4507,東証プライム,塩野義製薬
4516,東証プライム,日本新薬
4519,東証プライム,中外製薬
4523,東証プライム,エーザイ
4527,東証プライム,ロート製薬
4528,東証プライム,小野薬品工業
4543,東証プライム,テルモ
4568,東証プライム,第一三共
4578,東証プライム,大塚ＨＤ
4587,東証プライム,ペプチドリーム
4612,東証プライム,日本ペイントＨＤ
4613,東証プライム,関西ペイント
4626,東証プライム,太陽ＨＤ
4661,東証プライム,オリエンタルランド
4680,東証プライム,ラウンドワン
4684,東証プライム,オービック
4686,東証プライム,ジャストシステム
4689,東証プライム,ＺＨＤ
4694,東証プライム,ビー・エム・エル
4704,東証プライム,トレンドマイクロ
4716,東証スタンダード,日本オラクル
4722,東証プライム,フューチャーアーキ
4732,東証プライム,ユー・エス・エス
4751,東証プライム,サイバーエージェント
4768,東証プライム,大塚商会
4812,東証プライム,ＩＳＩＤ
4816,東証スタンダード,東映アニメーション
4901,東証プライム,富士フイルムＨＤ
4911,東証プライム,資生堂
4912,東証プライム,ライオン
4967,東証プライム,小林製薬
4974,東証プライム,タカラバイオ
4980,東証プライム,デクセリアルズ
5019,東証プライム,出光興産
5020,東証プライム,ＥＮＥＯＳＨＤ
5021,東証プライム,コスモエネルギーＨＤ
5076,東証プライム,インフロニアＨＤ
5101,東証プライム,横浜ゴム
5105,東証プライム,ＴＯＹＯ ＴＩＲＥ
5108,東証プライム,ブリヂストン
5110,東証プライム,住友ゴム工業
5201,東証プライム,ＡＧＣ
5301,東証プライム,東海カーボン
5332,東証プライム,ＴＯＴＯ
5333,東証プライム,日本ガイシ
5334,東証プライム,日本特殊陶業
5344,東証プライム,ＭＡＲＵＷＡ
5384,東証プライム,フジミ
5393,東証プライム,ニチアス
5401,東証プライム,日本製鉄
5406,東証プライム,神戸製鋼所
5411,東証プライム,ＪＦＥＨＤ
5423,東証プライム,東京製鐵
5444,東証プライム,大和工業
5463,東証プライム,丸一鋼管
5471,東証プライム,大同特殊鋼
5480,東証プライム,日本冶金工業
5706,東証プライム,三井金属
5713,東証プライム,住友金属鉱山
5714,東証プライム,ＤＯＷＡＨＤ
5802,東証プライム,住友電気工業
5803,東証プライム,フジクラ
5857,東証プライム,ＡＲＥＨＤ
5929,東証プライム,三和ＨＤ
5947,東証プライム,リンナイ
5991,東証プライム,ニッパツ
6005,東証プライム,三浦工業
6028,東証プライム,テクノプロＨＤ
6055,東証プライム,ジャパンマテリアル
6098,東証プライム,リクルートＨＤ
6101,東証プライム,ツガミ
6113,東証プライム,アマダ
6141,東証プライム,ＤＭＧ森精機
6146,東証プライム,ディスコ
6183,東証プライム,ベルシステム２４ＨＤ
6201,東証プライム,豊田自動織機
6254,東証プライム,野村マイクロ
6268,東証プライム,ナブテスコ
6273,東証プライム,ＳＭＣ
6301,東証プライム,コマツ
6302,東証プライム,住友重機械工業
6305,東証プライム,日立建機
6315,東証プライム,ＴＯＷＡ
6323,東証プライム,ローツェ
6326,東証プライム,クボタ
6361,東証プライム,荏原
6367,東証プライム,ダイキン工業
6368,東証プライム,オルガノ
6383,東証プライム,ダイフク
6417,東証プライム,ＳＡＮＫＹＯ
6432,東証プライム,竹内製作所
6448,東証プライム,ブラザー工業
6460,東証プライム,セガサミーＨＤ
6465,東証プライム,ホシザキ電機
6479,東証プライム,ミネベアミツミ
6501,東証プライム,日立製作所
6503,東証プライム,三菱電機
6504,東証プライム,富士電機
6506,東証プライム,安川電機
6532,東証プライム,ベイカレント
6544,東証プライム,ジャパンエレベーター
6586,東証プライム,マキタ
6632,東証プライム,ＪＶＣケンウッド
6645,東証プライム,オムロン
6670,東証スタンダード,ＭＣＪ
6701,東証プライム,ＮＥＣ
6702,東証プライム,富士通
6723,東証プライム,ルネサスエレクトロ
6724,東証プライム,セイコーエプソン
6728,東証プライム,アルバック
6752,東証プライム,パナソニックＨＤ
6758,東証プライム,ソニーグループ
6762,東証プライム,ＴＤＫ
6787,東証プライム,メイコー
6806,東証プライム,ヒロセ電機
6841,東証プライム,横河電機
6845,東証プライム,アズビル
6849,東証プライム,日本光電
6856,東証プライム,堀場製作所
6857,東証プライム,アドバンテスト
6861,東証プライム,キーエンス
6869,東証プライム,シスメックス
6890,東証スタンダード,フェローテック
6902,東証プライム,デンソー
6920,東証プライム,レーザーテック
6951,東証プライム,日本電子
6954,東証プライム,ファナック
6963,東証プライム,ローム
6965,東証プライム,浜松ホトニクス
6966,東証プライム,三井ハイテック
6971,東証プライム,京セラ
6976,東証プライム,太陽誘電
6981,東証プライム,村田製作所
6988,東証プライム,日東電工
7011,東証プライム,三菱重工業
7071,東証プライム,アンビスＨＤ
7105,東証スタンダード,三菱ロジスネクスト
7148,東証プライム,ＦＰＧ
7164,東証プライム,全国保証
7167,東証プライム,めぶきＦＧ
7186,東証プライム,コンコルディアＦＧ
7202,東証プライム,いすゞ自動車
7203,東証プライム,トヨタ自動車
7211,東証プライム,三菱自動車
7242,東証プライム,ＫＹＢ
7259,東証プライム,アイシン精機
7261,東証プライム,マツダ
7267,東証プライム,ホンダ
7269,東証プライム,スズキ
7270,東証プライム,ＳＵＢＡＲＵ
7272,東証プライム,ヤマハ発動機
7276,東証プライム,小糸製作所
7282,東証プライム,豊田合成
7309,東証プライム,シマノ
7419,東証プライム,ノジマ
7453,東証プライム,良品計画
7459,東証プライム,メディパルＨＤ
7532,東証プライム,パン・パシフィック
7550,東証プライム,ゼンショーＨＤ
7564,東証スタンダード,ワークマン
7599,東証プライム,ＩＤＯＭ
7649,東証プライム,スギＨＤ
7701,東証プライム,島津製作所
7716,東証スタンダード,ナカニシ
7729,東証プライム,東京精密
7733,東証プライム,オリンパス
7735,東証プライム,ＳＣＲＥＥＮＨＤ
7741,東証プライム,ＨＯＹＡ
7744,東証プライム,ノーリツ鋼機
7747,東証プライム,朝日インテック
7751,東証プライム,キヤノン
7762,東証プライム,シチズン時計
7826,東証スタンダード,フルヤ金属
7832,東証プライム,バンダイナムコＨＤ
7846,東証プライム,パイロットCorp
7912,東証プライム,大日本印刷
7936,東証プライム,アシックス
7944,東証プライム,ローランド
7951,東証プライム,ヤマハ
7974,東証プライム,任天堂
7988,東証プライム,ニフコ
8001,東証プライム,伊藤忠商事
8002,東証プライム,丸紅
8015,東証プライム,豊田通商
8020,東証プライム,兼松
8031,東証プライム,三井物産
8035,東証プライム,東京エレクトロン
8053,東証プライム,住友商事
8056,東証プライム,ＢＩＰＲＯＧＹ
8058,東証プライム,三菱商事
8060,東証プライム,キヤノンマーケティング
8078,東証プライム,阪和興業
8088,東証プライム,岩谷産業
8098,東証プライム,稲畑産業
